user_id,user_name,phone_num,email,password,confirm_pw,notification_type,notification_period,register_date
user_1,user_name_1,8022732462,user1@example.com,password123,password123,Email,,2024-01-09
user_2,user_name_2,9887720283,user2@example.com,password123,password123,Email,Weekly,2024-01-20
user_3,user_name_3,1239455896,user3@example.com,password123,password123,App Notifications,Monthly,2024-01-21
user_4,user_name_4,2299958834,user4@example.com,password123,password123,None,,2024-01-30
user_5,user_name_5,,user5@example.com,password123,password123,Email,Monthly,2024-01-04
user_6,user_name_6,1356501862,user6@example.com,password123,password123,App Notifications,Multiple times a day,2024-01-12
user_7,user_name_7,4682324785,user7@example.com,password123,password123,Email,,2024-01-17
user_8,user_name_8,5700060390,user8@example.com,password123,password123,App Notifications,,2024-01-28
user_9,user_name_9,7150926687,user9@example.com,password123,password123,Email,,2024-01-05
user_10,user_name_10,4695608539,user10@example.com,password123,password123,SMS,,2024-01-03
user_11,user_name_11,,user11@example.com,password123,password123,Email,,2024-01-09
user_12,user_name_12,8521882555,user12@example.com,password123,password123,SMS,,2024-01-30
user_13,user_name_13,,user13@example.com,password123,password123,Email,,2024-01-17
user_14,user_name_14,,user14@example.com,password123,password123,Email,Multiple times a day,2024-01-20
user_15,user_name_15,,user15@example.com,password123,password123,App Notifications,Daily,2024-01-17
user_16,user_name_16,7226492827,user16@example.com,password123,password123,App Notifications,Weekly,2024-01-25
user_17,user_name_17,,user17@example.com,password123,password123,None,,2024-01-15
user_18,user_name_18,4925267880,user18@example.com,password123,password123,SMS,Multiple times a day,2024-01-25
user_19,user_name_19,4237391671,user19@example.com,password123,password123,Email,Daily,2024-01-25
user_20,user_name_20,,user20@example.com,password123,password123,App Notifications,Monthly,2024-01-06
user_21,user_name_21,,user21@example.com,password123,password123,None,Daily,2024-01-14
user_22,user_name_22,,user22@example.com,password123,password123,Email,,2024-01-06
user_23,user_name_23,,user23@example.com,password123,password123,Email,Weekly,2024-01-04
user_24,user_name_24,,user24@example.com,password123,password123,None,Monthly,2024-01-22
user_25,user_name_25,,user25@example.com,password123,password123,None,Daily,2024-01-10
user_26,user_name_26,9831941301,user26@example.com,password123,password123,App Notifications,Multiple times a day,2024-01-02
user_27,user_name_27,4010506622,user27@example.com,password123,password123,SMS,Daily,2024-01-25
user_28,user_name_28,2484343143,user28@example.com,password123,password123,App Notifications,,2024-01-04
user_29,user_name_29,3267436001,user29@example.com,password123,password123,SMS,Monthly,2024-01-31
user_30,user_name_30,4429075641,user30@example.com,password123,password123,SMS,,2024-01-15
user_31,user_name_31,,user31@example.com,password123,password123,Email,Daily,2024-01-25
user_32,user_name_32,,user32@example.com,password123,password123,App Notifications,,2024-01-19
user_33,user_name_33,6431817896,user33@example.com,password123,password123,None,Weekly,2024-01-16
user_34,user_name_34,,user34@example.com,password123,password123,None,Monthly,2024-01-30
user_35,user_name_35,9585878477,user35@example.com,password123,password123,SMS,,2024-01-29
user_36,user_name_36,4800207330,user36@example.com,password123,password123,None,Multiple times a day,2024-01-24
